ID	gen_refex	Target	Title
0270	the Talking Chip	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0276	It	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0290	It	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0305	our lead character	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0306	the performance of Nick Mancuso	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0331	Venetian	Venice (it/its)	Venice is a city in Italy famous for its canals.
0337	The former chairman and CEO	Kenneth Roman (he/him/his)	Kenneth Roman is the 59-year-old former chairman and chief executive officer of the Ogilvy Group.
0349	the US dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0352	US Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0359	This speech synthesiser	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0362	Bush's	George W. Bush (he/him/his)	George W. Bush was president of the United States.
0364	Bush's position	George W. Bush (he/him/his)	George W. Bush was president of the United States.
0379	They	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0382	Their	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0387	Nick	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0389	the TV series detective	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0390	this character	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0391	Mancuso's	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0396	the company's officials	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0409	"""Venice"""	Venice (it/its)	Venice is a city in Italy famous for its canals.
0411	"""the city"""	Venice (it/its)	Venice is a city in Italy famous for its canals.
0414	"""Venetian"""	Venice (it/its)	Venice is a city in Italy famous for its canals.
0416	the Task Broker	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0417	the program	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0418	it	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0419	Task Broker	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0420	this software	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0421	The Task Broker	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0423	Addison	Addison (it/its)	Addison is a small suburb in the city of Dallas in Texas.
0424	Addison's	Addison (it/its)	Addison is a small suburb in the city of Dallas in Texas.
0430	Alaska	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0432	Alaska's	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0435	Alaskan	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0437	It	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0439	a comprehensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0440	This proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0441	the comprehensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0442	The proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0443	this comprehensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0444	the proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0445	this proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0447	ASKO	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0449	the West German company	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0450	it	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0452	its	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0457	Nigel Lawson	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0458	he	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0459	the Chancellor of the Exchequer	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0460	Lawson	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0463	the UK's former Chancellor	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0467	James T. Sherwin	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0472	James T. Sherwin's	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0474	Vickers PLC	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0475	the company	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0476	it	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0477	the UK defense and engineering firm	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0478	Vickers'	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0480	The defense and engineering firm	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0481	George Bush's	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0482	Bush's	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0483	Bush	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0484	his	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0487	he	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0489	Jim Wright's	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0490	Jim Wright	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0493	his	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0494	He	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0498	he	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0504	The Hewlett-Packard program	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0507	its	Addison (it/its)	Addison is a small suburb in the city of Dallas in Texas.
0514	it	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0517	its	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0525	The comprehensive plan	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0527	the proposed plan	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0528	the extensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0529	the American comprehensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0532	the company	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0534	It	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0535	ASKO's	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0543	He	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0551	Sherwin	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0552	him	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0555	Sherwin's	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0558	Vickers	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0561	Vickers PLC's	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0586	the software	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0587	This program	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0597	the state	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0604	the most northerly state within the United States of America	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0608	The said proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0611	the said proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0625	the former Chancellor	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0634	Mr. Sherwin	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0636	the vice-chairman of GAF Corp.	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0638	Mr. Sherwin's	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0639	the vice-chairman of GAF	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0642	the UK defense and engineering company	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0645	the United Kingdom defense and engineering company	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0646	It	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0649	George Bush	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0651	Bush administration's	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0658	Wright's	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0664	Wright	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0669	this program	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0689	The comprehensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0691	The same proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0698	the lawyers of ASKO	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0700	ASKO Deutsche Kaufhaus AG	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0709	The Chancellor of the Exchequer	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0712	The former Chancellor of the Exchequer	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0713	Mr. Lawson	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0726	the firm	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0728	the defense and engineering company	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0729	The UK company	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0753	This system	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0772	This comprehensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0781	the West German company's	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0831	Heidi Ehman	Heidi Ehman (she/her)	Heidi Ehman is a 24-year-old, politically active woman.
0832	her	Heidi Ehman (she/her)	Heidi Ehman is a 24-year-old, politically active woman.
0833	she	Heidi Ehman (she/her)	Heidi Ehman is a 24-year-old, politically active woman.
0840	Ronald B. Koenig	Ronald B. Koenig	Ronald B. Koenig is a 55-year old senior managing director in a brokerage company.
0841	He	Ronald B. Koenig	Ronald B. Koenig is a 55-year old senior managing director in a brokerage company.
0842	Koenig	Ronald B. Koenig	Ronald B. Koenig is a 55-year old senior managing director in a brokerage company.
0843	he	Ronald B. Koenig	Ronald B. Koenig is a 55-year old senior managing director in a brokerage company.
0844	him	Ronald B. Koenig	Ronald B. Koenig is a 55-year old senior managing director in a brokerage company.
0846	his	Ronald B. Koenig	Ronald B. Koenig is a 55-year old senior managing director in a brokerage company.
0848	Goodson Newspaper Group Inc.	Goodson (it/its)	Goodson Newspaper Group Inc. - or Goodson for short - is a company in the United States.
0849	Goodson	Goodson (it/its)	Goodson Newspaper Group Inc. - or Goodson for short - is a company in the United States.
0850	its	Goodson (it/its)	Goodson Newspaper Group Inc. - or Goodson for short - is a company in the United States.
0851	The company	Goodson (it/its)	Goodson Newspaper Group Inc. - or Goodson for short - is a company in the United States.
0853	It	Goodson (it/its)	Goodson Newspaper Group Inc. - or Goodson for short - is a company in the United States.
0855	it	Goodson (it/its)	Goodson Newspaper Group Inc. - or Goodson for short - is a company in the United States.
0856	Allen D. Tharp	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0857	He	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0858	Tharp	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0859	he	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0860	his	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0865	him	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0866	U.S. News & World Report	U.S. News & World Report (it/its)	U.S. News & World Report is a popular weekly magazine in the United States.
0868	U.S. News & World Report's	U.S. News & World Report (it/its)	U.S. News & World Report is a popular weekly magazine in the United States.
0873	its	U.S. News & World Report (it/its)	U.S. News & World Report is a popular weekly magazine in the United States.
0875	California's	California (it/its)	California is a state on the west coast of the United States.
0877	California	California (it/its)	California is a state on the west coast of the United States.
0878	Californian	California (it/its)	California is a state on the west coast of the United States.
0883	the United States	The United States (it/its)	The United States of America is a large and highly populated country in North America. For many years, The U.S. tended to dominate the 32-nation Organization of American States.
0885	United States'	The United States (it/its)	The United States of America is a large and highly populated country in North America. For many years, The U.S. tended to dominate the 32-nation Organization of American States.
0891	Charles Wohlstetter	Charles Wohlstetter (he/him/his)	Charles Wohlstetter , 79 years old , is the chairman of Contel Corporation.
0892	he	Charles Wohlstetter (he/him/his)	Charles Wohlstetter , 79 years old , is the chairman of Contel Corporation.
0893	Wohlstetter	Charles Wohlstetter (he/him/his)	Charles Wohlstetter , 79 years old , is the chairman of Contel Corporation.
0895	Charles	Charles Wohlstetter (he/him/his)	Charles Wohlstetter , 79 years old , is the chairman of Contel Corporation.
0899	"""Days of Rage"""	"The movie ""Days of Rage"""	"""Days of Rage"" is a film about the conflict between Palestinians and Israel."
0900	the film	"The movie ""Days of Rage"""	"""Days of Rage"" is a film about the conflict between Palestinians and Israel."
0902	this movie	"The movie ""Days of Rage"""	"""Days of Rage"" is a film about the conflict between Palestinians and Israel."
0904	the movie	"The movie ""Days of Rage"""	"""Days of Rage"" is a film about the conflict between Palestinians and Israel."
0906	Buell	Buell (it/its)	Buell Industries Inc. - or Buell for short - is a company in Waterbury, Conn., that makes industrial fasteners and metal stampings.
0907	its	Buell (it/its)	Buell Industries Inc. - or Buell for short - is a company in Waterbury, Conn., that makes industrial fasteners and metal stampings.
0908	The company's	Buell (it/its)	Buell Industries Inc. - or Buell for short - is a company in Waterbury, Conn., that makes industrial fasteners and metal stampings.
0909	Buell Industries Inc.	Buell (it/its)	Buell Industries Inc. - or Buell for short - is a company in Waterbury, Conn., that makes industrial fasteners and metal stampings.
0910	it	Buell (it/its)	Buell Industries Inc. - or Buell for short - is a company in Waterbury, Conn., that makes industrial fasteners and metal stampings.
0912	The Waterbury, Conn., company	Buell (it/its)	Buell Industries Inc. - or Buell for short - is a company in Waterbury, Conn., that makes industrial fasteners and metal stampings.
0919	unexpectedly	Heidi Ehman (she/her)	Heidi Ehman is a 24-year-old, politically active woman.
0939	Mr. Tharp	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0945	Tharp's	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0957	the California	California (it/its)	California is a state on the west coast of the United States.
0964	it	California (it/its)	California is a state on the west coast of the United States.
0965	The United States	The United States (it/its)	The United States of America is a large and highly populated country in North America. For many years, The U.S. tended to dominate the 32-nation Organization of American States.
0967	American	The United States (it/its)	The United States of America is a large and highly populated country in North America. For many years, The U.S. tended to dominate the 32-nation Organization of American States.
