ID	form	correct_ref	gen_refex	Target	Title
0047	pron	yes	they	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0049	desc	yes	The two Japanese scientists	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0050	pron	yes	their	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0051	desc	yes	Dr Shin Yonehara and Dr Nobuyuku Kobayashi said	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0052	proper	yes	Nick Mancuso	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0053	pron	yes	he	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0055	desc	yes	Mancuso	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0059	pron	yes	his	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0060	proper	yes	Public Service co.	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0061	desc	yes	the New Hampshire company	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0062	desc	yes	the company	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0063	proper	yes	Public Service co.'s	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0064	desc	yes	the corporation	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0065	pron	yes	It	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0066	pron	yes	its	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0068	proper	yes	Canada's	Canada (it/its)	Canada is a large country in North America with many natural resources.
0071	proper	yes	Canada	Canada (it/its)	Canada is a large country in North America with many natural resources.
0077	proper	yes	Venice	Venice (it/its)	Venice is a city in Italy famous for its canals.
0079	desc	yes	the city	Venice (it/its)	Venice is a city in Italy famous for its canals.
0080	desc	yes	The Italian city	Venice (it/its)	Venice is a city in Italy famous for its canals.
0081	pron	yes	it	Venice (it/its)	Venice is a city in Italy famous for its canals.
0082	proper	yes	Venice's	Venice (it/its)	Venice is a city in Italy famous for its canals.
0083	desc	yes	the canal city	Venice (it/its)	Venice is a city in Italy famous for its canals.
0088	pron	yes	He	Kenneth Roman (he/him/his)	Kenneth Roman is the 59-year-old former chairman and chief executive officer of the Ogilvy Group.
0098	desc	yes	the U.S. Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0099	desc	no	its stability	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0100	desc	yes	the dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0102	desc	yes	the U.S. currency	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0105	desc	yes	the speech synthesiser	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0106	desc	no	the advertisement	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0108	desc	no	The application of this technology	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0109	desc	no	this initiative	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0110	desc	no	this innovation	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0115	desc	no	George W. Bush's stance	George W. Bush (he/him/his)	George W. Bush was president of the United States.
0123	desc	no	The manufacturing company	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0126	desc	no	The corporation	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0129	prop	yes	Dr Yonehara and Dr Kobayashi	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0130	desc	yes	these two Japanese scientists	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0132	desc	yes	The scientists	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0136	desc	no	the FBI Agent	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0137	desc	yes	this TV series character	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0140	desc	no	the show	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0141	pron	yes	him	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0147	desc	no	the United States company's	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0150	desc	no	the American company	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0178	desc	yes	the official currency	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0181	desc	yes	the US currency	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0182	desc	no	the state of the Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0183	desc	no	the value of the Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0191	desc	no	This technology	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0193	desc	yes	this speech synthesiser	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0219	desc	yes	the FBI agent	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0222	desc	yes	this TV series agent	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0223	desc	no	Nick Mancuso's performance	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0224	desc	yes	the character played by Mancuso	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0232	pron	yes	it	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0233	desc	no	the firm	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0244	desc	no	this Italian city	Venice (it/its)	Venice is a city in Italy famous for its canals.
0261	desc	yes	The official currency of the United States	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0265	desc	yes	the monetary unit of The United States	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0267	desc	yes	this currency	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0268	desc	yes	The dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0269	desc	yes	the American Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0270	prop	yes	the Talking Chip	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0276	pron	yes	It	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0290	pron	yes	It	Detrex Corp. (it/its)	Detrex Corp. is a company in the United States which manufactures chemicals.
0305	desc	no	our lead character	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0306	desc	no	the performance of Nick Mancuso	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0331	desc	no	Venetian	Venice (it/its)	Venice is a city in Italy famous for its canals.
0337	desc	yes	The former chairman and CEO	Kenneth Roman (he/him/his)	Kenneth Roman is the 59-year-old former chairman and chief executive officer of the Ogilvy Group.
0349	desc	yes	the US dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0352	desc	yes	US Dollar	The United States Dollar (it/its)	The United States Dollar is the official currency of the United States, and frequently used in international business.
0359	desc	yes	This speech synthesiser	The Talking Chip (it/its)	The Talking Chip - was a speech synthesiser laminated into an advertisement for Texas Instruments that appeared in the magazine Business Week.
0362	desc	no	Bush's	George W. Bush (he/him/his)	George W. Bush was president of the United States.
0364	desc	no	Bush's position	George W. Bush (he/him/his)	George W. Bush was president of the United States.
0379	pron	yes	They	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0382	pron	no	Their	Dr Shin Yonehara and Dr Nobuyuku Kobayashi (they/them/their)	Dr Shin Yonehara and Dr Nobuyuku Kobayashi are two Japanese scientists at Yamaguchi University.
0387	prop	yes	Nick	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0389	desc	yes	the TV series detective	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0390	desc	yes	this character	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0391	desc	yes	Mancuso's	Nick Mancuso (he/him/his)	Nick Mancuso is an FBI Agent in a TV series.
0396	desc	yes	the company's officials	Public Service co. (it/its)	Public Service co. is a company in New Hampshire in the United States.
0409	prop	yes	"""Venice"""	Venice (it/its)	Venice is a city in Italy famous for its canals.
0411	desc	yes	"""the city"""	Venice (it/its)	Venice is a city in Italy famous for its canals.
0414	desc	no	"""Venetian"""	Venice (it/its)	Venice is a city in Italy famous for its canals.
0416	desc	yes	the Task Broker	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0417	desc	yes	the program	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0418	pron	yes	it	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0419	prop	yes	Task Broker	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0420	desc	yes	this software	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0421	desc	yes	The Task Broker	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0423	prop	yes	Addison	Addison (it/its)	Addison is a small suburb in the city of Dallas in Texas.
0424	desc	yes	Addison's	Addison (it/its)	Addison is a small suburb in the city of Dallas in Texas.
0430	prop	yes	Alaska	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0432	desc	yes	Alaska's	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0435	desc	no	Alaskan	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0437	pron	yes	It	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0439	desc	yes	a comprehensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0440	desc	yes	This proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0441	desc	yes	the comprehensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0442	desc	yes	The proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0443	desc	yes	this comprehensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0444	desc	yes	the proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0445	desc	yes	this proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0447	prop	yes	ASKO	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0449	desc	yes	the West German company	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0450	pron	yes	it	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0452	pron	yes	its	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0457	prop	yes	Nigel Lawson	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0458	pron	yes	he	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0459	desc	yes	the Chancellor of the Exchequer	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0460	prop	yes	Lawson	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0463	desc	yes	the UK's former Chancellor	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0467	prop	yes	James T. Sherwin	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0472	desc	no	James T. Sherwin's	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0474	prop	yes	Vickers PLC	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0475	desc	yes	the company	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0476	pron	yes	it	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0477	desc	yes	the UK defense and engineering firm	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0478	desc	yes	Vickers'	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0480	desc	yes	The defense and engineering firm	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0481	desc	yes	George Bush's	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0482	desc	yes	Bush's	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0483	prop	yes	Bush	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0484	pron	yes	his	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0487	pron	yes	he	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0489	desc	yes	Jim Wright's	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0490	prop	yes	Jim Wright	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0493	pron	yes	his	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0494	pron	yes	He	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0498	pron	yes	he	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0504	desc	yes	The Hewlett-Packard program	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0507	pron	no	its	Addison (it/its)	Addison is a small suburb in the city of Dallas in Texas.
0514	pron	yes	it	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0517	pron	yes	its	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0525	desc	yes	The comprehensive plan	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0527	desc	yes	the proposed plan	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0528	desc	yes	the extensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0529	desc	yes	the American comprehensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0532	desc	yes	the company	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0534	pron	yes	It	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0535	desc	yes	ASKO's	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0543	pron	yes	He	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0551	prop	no	Sherwin	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0552	pron	no	him	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0555	desc	no	Sherwin's	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0558	prop	yes	Vickers	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0561	desc	yes	Vickers PLC's	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0586	desc	yes	the software	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0587	desc	yes	This program	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0597	desc	yes	the state	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0604	desc	yes	the most northerly state within the United States of America	Alaska (it/its)	Alaska is the most northerly state within the United States of America.
0608	desc	yes	The said proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0611	desc	yes	the said proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0625	desc	yes	the former Chancellor	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0634	prop	no	Mr. Sherwin	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0636	desc	yes	the vice-chairman of GAF Corp.	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0638	desc	no	Mr. Sherwin's	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0639	desc	yes	the vice-chairman of GAF	James T. Sherwin (hi/him/his)	James T. Sherwin is the vice-chairman of GAF Corp.
0642	desc	yes	the UK defense and engineering company	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0645	desc	yes	the United Kingdom defense and engineering company	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0646	pron	yes	It	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0649	prop	yes	George Bush	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0651	desc	yes	Bush administration's	George Bush (he/him/his)	George H. W. Bush (senior) was president of the United States from 1989 to 1993.
0658	desc	yes	Wright's	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0664	prop	yes	Wright	Jim Wright (he/him/his)	Jim Wright is a former congressman in the United States.
0669	desc	yes	this program	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0689	desc	yes	The comprehensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0691	desc	yes	The same proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0698	desc	no	the lawyers of ASKO	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0700	prop	yes	ASKO Deutsche Kaufhaus AG	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0709	desc	yes	The Chancellor of the Exchequer	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0712	desc	yes	The former Chancellor of the Exchequer	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0713	prop	yes	Mr. Lawson	Nigel Lawson (he/him/his)	Nigel Lawson was the Chancellor of the Exchequer in the United Kingdom (when this story was written).
0726	desc	yes	the firm	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0728	desc	yes	the defense and engineering company	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0729	desc	yes	The UK company	Vickers PLC (it/its)	Vickers PLC - or Vickers for short - is a United Kingdom defense and engineering company.
0753	desc	yes	This system	Task Broker (it/its)	Task Broker is a program from Hewlett-Packard Co. which allows computers in a network to send tasks to each other.
0772	desc	yes	This comprehensive proposal	A comprehensive proposal (it/its)	"This text is about a ""comprehensive"" proposal from the United States for overhauling agricultural trade that could help break an impasse in the current round of multilateral trade negotiations."
0781	desc	no	the West German company's	ASKO (it/its)	ASKO Deutsche Kaufhaus AG - or ASKO for short - is a West German retailer.
0831	proper	yes	Heidi Ehman	Heidi Ehman (she/her)	Heidi Ehman is a 24-year-old, politically active woman.
0832	pron	yes	her	Heidi Ehman (she/her)	Heidi Ehman is a 24-year-old, politically active woman.
0833	pron	yes	she	Heidi Ehman (she/her)	Heidi Ehman is a 24-year-old, politically active woman.
0840	proper	yes	Ronald B. Koenig	Ronald B. Koenig	Ronald B. Koenig is a 55-year old senior managing director in a brokerage company.
0841	pron	yes	He	Ronald B. Koenig	Ronald B. Koenig is a 55-year old senior managing director in a brokerage company.
0842	proper	yes	Koenig	Ronald B. Koenig	Ronald B. Koenig is a 55-year old senior managing director in a brokerage company.
0843	pron	yes	he	Ronald B. Koenig	Ronald B. Koenig is a 55-year old senior managing director in a brokerage company.
0844	pron	yes	him	Ronald B. Koenig	Ronald B. Koenig is a 55-year old senior managing director in a brokerage company.
0846	pron	yes	his	Ronald B. Koenig	Ronald B. Koenig is a 55-year old senior managing director in a brokerage company.
0848	proper	yes	Goodson Newspaper Group Inc.	Goodson (it/its)	Goodson Newspaper Group Inc. - or Goodson for short - is a company in the United States.
0849	proper	yes	Goodson	Goodson (it/its)	Goodson Newspaper Group Inc. - or Goodson for short - is a company in the United States.
0850	pron	yes	its	Goodson (it/its)	Goodson Newspaper Group Inc. - or Goodson for short - is a company in the United States.
0851	desc	yes	The company	Goodson (it/its)	Goodson Newspaper Group Inc. - or Goodson for short - is a company in the United States.
0853	pron	yes	It	Goodson (it/its)	Goodson Newspaper Group Inc. - or Goodson for short - is a company in the United States.
0855	pron	yes	it	Goodson (it/its)	Goodson Newspaper Group Inc. - or Goodson for short - is a company in the United States.
0856	proper	yes	Allen D. Tharp	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0857	pron	yes	He	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0858	proper	yes	Tharp	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0859	pron	yes	he	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0860	pron	yes	his	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0865	pron	yes	him	Allen D. Tharp (he/him/his)	Allen D. Tharp is male catfish farmer in Humphreys County in Mississippi.
0866	proper	yes	U.S. News & World Report	U.S. News & World Report (it/its)	U.S. News & World Report is a popular weekly magazine in the United States.
0868	desc	yes	U.S. News & World Report's	U.S. News & World Report (it/its)	U.S. News & World Report is a popular weekly magazine in the United States.
0873	pron	yes	its	U.S. News & World Report (it/its)	U.S. News & World Report is a popular weekly magazine in the United States.
0875	desc	yes	California's	California (it/its)	California is a state on the west coast of the United States.
0877	proper	yes	California	California (it/its)	California is a state on the west coast of the United States.
0878	desc	no	Californian	California (it/its)	California is a state on the west coast of the United States.
