uniqueID	sentence_distance	paragraph_distance	animacy	gm	prev_ref	chain_id	content	fineRefForm	six_ref_form	five_ref_form	four_ref_form	three_ref_form	two_ref_form	UPOS	argumentType	vntheta
wsj_0037_16_143_20	first_mention	first_mention	human	np-obj	first_mention	42	Beatles	prop	n	n	n	n	nonp	PROPN		
wsj_0037_16_140_32	diff_sent	different_par	human	np-subj	name	39	Kodansha	prop	n	n	n	n	nonp	PROPN	ARG0	agent
wsj_0037_16_110_34	same_sent	same_par	other	np-obj	name	29	it	p	p	p	p	p	p	PRON	ARG1	product
wsj_0037_16_171_36	first_mention	first_mention	other	np-obj	first_mention	71	1987	prop	n	n	n	n	nonp	NUM		
wsj_0037_17_144_1	diff_sent	same_par	human	np-subj	name	43	he	p	p	p	p	p	p	PRON	ARG1	
wsj_0037_17_106_25	first_mention	first_mention	human	np-obj	first_mention	27	several youthful writers -- Tokyo 's brat pack -- who *T*-57 are	indefl	dlm	dm	dm	d	nonp	ADJ ADJ NOUN PROPN PART NOUN NOUN PRON AUX VERB DET ADJ NOUN NOUN ADP PROPN		
wsj_0037_17_141_11	first_mention	first_mention	other	subj-det	first_mention	40	Tokyo 's	prop	n	n	n	n	nonp	PROPN PART		
wsj_0037_17_137_25	diff_sent	same_par	other	np-obj	name	35	Japan	prop	n	n	n	n	nonp	PROPN		
wsj_0037_18_106_0	diff_sent	same_par	human	subj-det	description	27	Their	p	p	p	p	p	p	PRON		
wsj_0037_19_145_3	first_mention	first_mention	human	subj-det	first_mention	44	Robert Whiting 's	fl	n	n	n	n	nonp	PROPN VERB		
wsj_0037_19_103_19	first_mention	first_mention	other	np-obj	first_mention	26	Robert Whiting 's `` You Gotta Have Wa '' -LRB- Macmillan , 339 pages , $	propmod	nm	nm	n	n	nonp	PROPN VERB PART SYM PRON PROPN PROPN PROPN PROPN NUM NOUN SYM NUM SYM DET		
wsj_0037_19_143_22	diff_sent	different_par	human	np-subj	name	42	the Beatles	prop	n	n	n	n	nonp	DET PROPN	ARG0	agent
wsj_0037_20_145_2	diff_sent	same_par	human	np-subj	name	44	Mr. Whiting	titl	n	n	n	n	nonp	PROPN VERB	ARG0	agent
wsj_0037_20_137_14	diff_sent	different_par	other	subj-det	name	35	Japan 's	prop	n	n	n	n	nonp	PROPN PART		
wsj_0037_22_146_2	first_mention	first_mention	human	subj-det	first_mention	45	A player 's	indefsmo	dsm	dm	dm	d	nonp	DET NOUN PART		
wsj_0037_22_146_13	same_sent	same_par	human	subj-det	description	45	his	p	p	p	p	p	p	PRON		
wsj_0037_23_147_4	first_mention	first_mention	other	np-obj	first_mention	46	Tokyo Giants	prop	n	n	n	n	nonp	PROPN PROPN		
wsj_0037_23_137_24	diff_sent	same_par	other	np-obj	name	35	Japan	prop	n	n	n	n	nonp	PROPN		
wsj_0037_24_11_42	first_mention	first_mention	other	np-subj	first_mention	28	ties	indefs	d	d	d	d	nonp	NOUN		
wsj_0037_24_11_52	same_sent	same_par	other	np-subj	description	28	they	p	p	p	p	p	p	PRON	ARG0	agent
wsj_0037_24_10_60	first_mention	first_mention	human	np-subj	first_mention	25	players	indefs	d	d	d	d	nonp	NOUN	ARG0	
wsj_0037_24_10_70	same_sent	same_par	human	subj-det	description	25	their	p	p	p	p	p	p	PRON		
wsj_0037_24_147_78	diff_sent	different_par	other	np-obj	name	46	the Tokyo Giants	prop	n	n	n	n	nonp	DET PROPN PROPN		
wsj_0037_25_103_4	diff_sent	different_par	other	np-subj	name	26	You Gotta Have Wa	prop	n	n	n	n	nonp	PRON PROPN PROPN PROPN	ARG1	
wsj_0037_25_137_26	diff_sent	different_par	other	np-obj	name	35	Japan	prop	n	n	n	n	nonp	PROPN		
wsj_0037_26_175_25	same_sent	first_mention	other	np-subj	first_mention	75	it	p	p	p	p	p	p	PRON	ARG1	
wsj_0037_26_155_33	first_mention	first_mention	other	np-obj	first_mention	54	home	defs	d	d	d	d	nonp	NOUN		
wsj_0037_27_85_16	first_mention	first_mention	other	np-subj	first_mention	94	`` Funny Business '' -LRB- Soho , 228 pages , $ 17.95 *U* -RRB- by Gary	propmod	nm	nm	n	n	nonp	SYM ADJ NOUN NOUN PROPN NUM NOUN SYM NUM SYM ADP PROPN PROPN AUX PRON ADJ	ARG1	
wsj_0037_27_8_16	first_mention	first_mention	human	np-obj	first_mention	93	Gary Katzenstein	fl	n	n	n	n	nonp	PROPN PROPN		
wsj_0037_28_85_0	diff_sent	same_par	other	np-subj	name	94	It	p	p	p	p	p	p	PRON	ARG1	
wsj_0037_28_7_10	first_mention	first_mention	other	np-subj	first_mention	91	Sony	prop	n	n	n	n	nonp	PROPN	ARG0	agent
wsj_0037_28_141_24	diff_sent	different_par	other	np-obj	name	40	Tokyo	prop	n	n	n	n	nonp	PROPN		
wsj_0037_29_8_13	diff_sent	different_par	human	np-subj	name	93	Mr. Katzenstein	titl	n	n	n	n	nonp	PROPN PROPN	ARG0	agent
wsj_0037_29_7_16	diff_sent	different_par	other	np-subj	name	91	Sony	prop	n	n	n	n	nonp	PROPN	ARG0	
wsj_0037_29_7_24	same_sent	same_par	other	subj-det	name	91	its	p	p	p	p	p	p	PRON		
wsj_0037_30_8_2	diff_sent	different_par	human	subj-det	name	93	his	p	p	p	p	p	p	PRON		
wsj_0037_31_148_34	first_mention	first_mention	human	np-obj	first_mention	47	the manager	defs	d	d	d	d	nonp	DET NOUN		
wsj_0037_31_148_37	same_sent	same_par	human	np-subj	description	47	the manager	defs	d	d	d	d	nonp	DET NOUN		
wsj_0037_31_7_45	diff_sent	different_par	other	np-subj	pronoun	91	Sony	prop	n	n	n	n	nonp	PROPN	ARG1	
wsj_0037_32_8_31	diff_sent	same_par	human	np-obj	pronoun	93	Mr. Katzenstein , who *T*-59 went to Sony with degrees in business and	flmod	nm	nm	n	n	nonp	PROPN PROPN PRON VERB ADP PROPN ADP NOUN ADP NOUN CCONJ NOUN NOUN CCONJ AUX VERB PART VERB DET NOUN		
wsj_0037_32_7_16	diff_sent	same_par	other	np-obj	name	91	Sony	prop	n	n	n	n	nonp	PROPN		
wsj_0037_33_7_1	diff_sent	different_par	other	np-subj	name	91	Sony	prop	n	n	n	n	nonp	PROPN		agent agent
wsj_0037_33_8_14	diff_sent	different_par	human	np-obj	name	93	Mr. Katzenstein	titl	n	n	n	n	nonp	PROPN PROPN	ARG1	theme
wsj_0037_33_8_17	same_sent	same_par	human	np-subj	name	93	he	p	p	p	p	p	p	PRON	ARG0	
wsj_0037_33_70_37	first_mention	first_mention	human	np-obj	first_mention	92	the venerable Akio Morita , founder of Sony	flmod	nm	nm	n	n	nonp	DET ADJ PROPN PROPN ADP ADP PROPN	ARG1	theme
wsj_0037_33_7_37	same_sent	same_par	other	np-obj	name	91	Sony	prop	n	n	n	n	nonp	PROPN		
wsj_0037_34_176_7	diff_sent	first_mention	other	np-subj	first_mention	76	their meeting	defs	d	d	d	d	nonp	PRON NOUN	ARG1	
wsj_0037_35_8_1	diff_sent	same_par	human	np-subj	pronoun	93	Mr. Katzenstein	titl	n	n	n	n	nonp	PROPN PROPN	ARG0	agent
wsj_0037_35_70_16	diff_sent	same_par	human	np-subj	name	92	Mr. Morita	titl	n	n	n	n	nonp	PROPN PROPN		
wsj_0037_36_141_13	diff_sent	different_par	other	np-obj	name	40	Tokyo	prop	n	n	n	n	nonp	PROPN		
wsj_0037_38_150_1	first_mention	first_mention	other	np-obj	first_mention	49	Singapore	prop	n	n	n	n	nonp	PROPN		
wsj_0037_38_177_5	first_mention	first_mention	other	np-subj	first_mention	77	a new law	indefsmo	dsm	dm	dm	d	nonp	DET ADJ NOUN	ARG0	agent
wsj_0037_38_5_7	first_mention	first_mention	human	np-obj	first_mention	89	smokers	indefs	d	d	d	d	nonp	NOUN		patient NA
wsj_0037_38_5_12	same_sent	same_par	human	subj-det	description	89	their	p	p	p	p	p	p	PRON		
wsj_0037_39_177_8	diff_sent	same_par	other	np-obj	description	77	the ban	defs	d	d	d	d	nonp	DET NOUN		
wsj_0037_40_150_0	diff_sent	same_par	other	np-subj	name	49	Singapore	prop	n	n	n	n	nonp	PROPN	ARG0	Agent
wsj_0037_42_152_1	first_mention	first_mention	other	np-subj	first_mention	51	South Korea	prop	n	n	n	n	nonp	PROPN PROPN	ARG0	theme1
wsj_0037_44_152_1	diff_sent	same_par	other	np-subj	name	51	South Korea	prop	n	n	n	n	nonp	PROPN PROPN		agent cause
wsj_0037_44_152_4	same_sent	same_par	other	subj-det	name	51	its	p	p	p	p	p	p	PRON		
wsj_0037_45_58_2	first_mention	first_mention	other	np-subj	first_mention	90	A marketing study	indefsmo	dsm	dm	dm	d	nonp	DET NOUN NOUN	ARG0	cause
wsj_0037_45_153_6	first_mention	first_mention	other	np-subj	first_mention	52	Hong Kong	prop	n	n	n	n	nonp	PROPN PROPN		
wsj_0037_45_154_7	first_mention	first_mention	human	np-subj	first_mention	53	Hong Kong consumers	indefsmo	dsm	dm	dm	d	nonp	PROPN PROPN NOUN	ARG1	
wsj_0037_45_58_19	same_sent	same_par	other	np-subj	description	90	the survey	defs	d	d	d	d	nonp	DET NOUN	ARG1	
wsj_0037_46_58_8	diff_sent	same_par	other	np-subj	description	90	The study by the Backer Spielvogel Bates ad agency	defl	dlm	dm	dm	d	nonp	DET NOUN ADP DET PROPN PROPN PROPN NOUN NOUN	ARG0	
wsj_0037_46_153_14	diff_sent	same_par	other	subj-det	name	52	the colony 's	defs	d	d	d	d	nonp	DET NOUN PART		
wsj_0037_46_154_15	diff_sent	same_par	human	np-subj	description	53	the colony 's consumers	indefsmo	dsm	dm	dm	d	nonp	DET NOUN PART NOUN	ARG0	experiencer
wsj_0037_46_155_33	diff_sent	different_par	other	np-obj	description	54	the U.S.	prop	n	n	n	n	nonp	DET PROPN		
wsj_0037_46_156_35	first_mention	first_mention	other	np-obj	first_mention	55	the U.S. and Japan	prop	n	n	n	n	nonp	DET PROPN CCONJ PROPN	ARG1	theme
wsj_0037_46_137_35	diff_sent	different_par	other	np-obj	name	35	Japan	prop	n	n	n	n	nonp	PROPN		
wsj_0037_47_58_1	diff_sent	same_par	other	np-subj	description	90	The survey	defs	d	d	d	d	nonp	DET NOUN	ARG0	
wsj_0037_47_153_8	diff_sent	same_par	other	np-obj	description	52	Hong Kong	prop	n	n	n	n	nonp	PROPN PROPN		
wsj_0037_47_154_9	diff_sent	same_par	human	np-obj	description	53	Hong Kong consumers	indefsmo	dsm	dm	dm	d	nonp	PROPN PROPN NOUN		
wsj_0037_47_58_12	same_sent	same_par	other	np-subj	description	90	it	p	p	p	p	p	p	PRON	ARG0	agent
wsj_0037_47_137_26	diff_sent	same_par	other	np-obj	name	35	Japan	prop	n	n	n	n	nonp	PROPN		
wsj_0037_47_156_29	diff_sent	same_par	other	np-obj	name	55	Japan and the U.S.	prop	n	n	n	n	nonp	PROPN CCONJ DET PROPN		
wsj_0037_47_155_29	diff_sent	same_par	other	np-obj	name	54	the U.S.	prop	n	n	n	n	nonp	DET PROPN		
wsj_0037_48_178_4	first_mention	first_mention	human	np-subj	first_mention	78	More than three in five	indefsmo	dsm	dm	dm	d	nonp	ADJ ADP NUM ADP NUM	ARG0	agent
wsj_0037_48_178_7	same_sent	same_par	human	np-subj	description	78	they	p	p	p	p	p	p	PRON	ARG1	
wsj_0037_48_137_34	diff_sent	same_par	other	np-obj	name	35	Japan	prop	n	n	n	n	nonp	PROPN		
wsj_0037_50_157_25	first_mention	first_mention	other	np-obj	first_mention	56	the Central Plaza Hotel	prop	n	n	n	n	nonp	DET PROPN PROPN PROPN		
wsj_0037_50_157_34	same_sent	same_par	other	subj-det	name	56	the hotel 's	defs	d	d	d	d	nonp	DET NOUN PART		
wsj_0037_52_43_11	first_mention	first_mention	human	np-obj	first_mention	88	the chairman of the International Olympic Committee	defl	dlm	dm	dm	d	nonp	DET NOUN ADP DET PROPN PROPN PROPN		
wsj_0037_52_158_11	first_mention	first_mention	other	np-obj	first_mention	57	the International Olympic Committee	defsmo	dsm	dm	dm	d	nonp	DET PROPN PROPN PROPN		
wsj_0037_52_43_14	same_sent	same_par	human	np-obj	description	88	him	p	p	p	p	p	p	PRON	ARG2	recipient
wsj_0037_52_158_25	same_sent	same_par	other	np-obj	description	57	the committee	defs	d	d	d	d	nonp	DET NOUN	ARG1	patient1
wsj_0037_52_160_30	first_mention	first_mention	other	np-obj	first_mention	60	Palestine Liberation Organization	prop	n	n	n	n	nonp	PROPN PROPN PROPN		
wsj_0037_53_159_6	first_mention	first_mention	other	np-obj	first_mention	58	the Palestinian Olympic Committee	defsmo	dsm	dm	dm	d	nonp	DET ADJ PROPN PROPN		
wsj_0037_53_159_10	same_sent	same_par	other	np-subj	description	58	the committee	defs	d	d	d	d	nonp	DET NOUN		agent NA
wsj_0037_53_159_19	same_sent	same_par	other	subj-det	description	58	its	p	p	p	p	p	p	PRON		
wsj_0037_53_179_20	same_sent	first_mention	other	np-obj	first_mention	79	its application	defs	d	d	d	d	nonp	PRON NOUN		
